<  File:  ENAmTrees.txt  Species:  148 Sites:   37 MatFill: 0.09 Occ:    520 5.000% Confidence limit  Index: c Model: fixed - fixed                      
 
#    No             Sp1                Sp2     S1  S2 Com  Obs.Score  Exp.Score  Exp.StDev   Skewness    LowerCL    UpperCL SigZ-Score      Alpha >MeanScore   >CLScore   >BJScore      Alpha
#  1701 "Liriodendron_tuli "Carya_tomentosa"   10   9   7      0.067      0.505      0.167      0.094      0.133      0.800      -2.62 0.00853533      -2.62      -2.62       0.00 1.00000000
#  1705 "Liriodendron_tuli "Sassafras_albidum  10   8   6      0.100      0.520      0.183      0.404      0.188      1.000      -2.30 0.02122366      -2.30       0.00       0.00 1.00000000
#  1706 "Liriodendron_tuli "Oxydendrum_arbore  10   7   6      0.057      0.523      0.166     -0.085      0.257      0.771      -2.80 0.00497091      -2.80      -2.80      -1.97 0.04907135
#  1709 "Liriodendron_tuli "Ulmus_rubra"       10   7   6      0.057      0.520      0.170     -0.353      0.143      0.771      -2.72 0.00632244      -2.72      -2.72       0.00 1.00000000
#  1718 "Liriodendron_tuli "Quercus_coccinea"  10   5   5      0.000      0.555      0.219      0.151      0.280      1.000      -2.53 0.01118243       0.00       0.00       0.00 1.00000000
#  1728 "Liriodendron_tuli "Ulmus_alata"       10   4   3      0.175      0.626      0.208      0.399      0.400      1.000      -2.16 0.03026748       0.00       0.00       0.00 1.00000000
#  1729 "Liriodendron_tuli "Cercis_canadensis  10   4   4      0.000      0.567      0.245      0.248      0.175      1.000      -2.32 0.02033055       0.00       0.00       0.00 1.00000000
#  1733 "Liriodendron_tuli "Carpinus_carolini  10   3   3      0.000      0.653      0.260      0.051      0.267      1.000      -2.52 0.01162678       0.00       0.00       0.00 1.00000000
#  1968 "Tsuga_canadensis" "Carya_tomentosa"   10   9   0      1.000      0.478      0.165      0.001      0.133      0.800       3.16 0.00154132       3.16       3.16       2.42 0.01521543
#  1969 "Tsuga_canadensis" "Carya_glabra"      10   9   0      1.000      0.484      0.166      0.474      0.222      0.800       3.10 0.00185651       3.10       3.10       2.35 0.01832688
#  1970 "Tsuga_canadensis" "Fraxinus_pennsylv  10   9   0      1.000      0.494      0.160      0.616      0.222      0.800       3.16 0.00151092       3.16       3.16       2.43 0.01491534
#  1971 "Tsuga_canadensis" "Betula_lenta"      10   8   6      0.100      0.496      0.184      0.411      0.188      0.788      -2.16 0.03048640       0.00       0.00       0.00 1.00000000
#  1974 "Tsuga_canadensis" "Acer_pensylvanicu  10   7   5      0.143      0.515      0.180      0.271      0.257      0.771      -2.07 0.03817427       0.00       0.00       0.00 1.00000000
#  2101 "Carya_tomentosa"  "Carya_glabra"       9   9   6      0.111      0.519      0.183     -0.085      0.198      0.790      -2.23 0.02550066       0.00       0.00       0.00 1.00000000
