"X1882" "X1889" "X1890" "X1892" "X1893" "X1894" "X1906" "X1907" "X1908" "X1909" "X1911" "X1912" "X1916" "X1920" "X1921" "X1922" "X1924" "X1925" "X1926" "X1927" "X1929" "X1930" "X1933" "X1938" "X1941" "X1943" "X1944" "X1952" "X1964" "X1965" "X1966" "X1972" "X1975" "X1976" "X1980" "X1981" "X1983" "X1985" "X1994" "X1997" "X1999" "X2000" "X2010" "X2011" "X2013" "X2016" "X2017" "X2019" "X2020"
"Sciurus_aureogas" 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sciurus_caroline" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55 1887 43 37 0 0 0 0 0 0 0 0 0 0 0 0 0 1044 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sciurus_colliaei" 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sciurus_granaten" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sciurus_ignivent" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sciurus_spadiceu" 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Speothos_venatic" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Spermophilus_var" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"Sphiggurus_insid" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Spilogale_putori" 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"Spilogale_pygmae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sus_scrofa" 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 189 0 0 0 0 0 0 0 0
"Sylvilagus_brasi" 0 0 10 0 105 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 72 7 29 0 0 0 0 0 0 0 2 0 0 36 0 0 1 0 0 0 0 0 0 9 0 0 1
"Sylvilagus_cunic" 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sylvilagus_flori" 0 0 0 0 0 0 0 0 0 91 0 0 0 101 1 350 0 3 0 6 0 0 0 0 0 0 0 0 0 0 0 130 0 0 0 0 0 0 0 29 0 0 0 0 0 0 12 0 0
"Sylvilagus_nutta" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tamandua_mexican" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Tamandua_tetrada" 1 0 1 0 1 4 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 4 6 0 0 0 0
"Tamias_striatus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 99 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tapirus_bairdii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0
