"X738" "X746" "X747" "X752" "X801" "X815" "X816" "X918" "X920" "X921" "X927" "X930" "X932" "X936" "X944" "X945" "X946" "X947" "X949" "X950" "X951" "X952" "X953" "X954" "X955" "X1287" "X1297" "X1298" "X1299" "X1697" "X1734" "X1737" "X1740" "X1743" "X1746" "X1752" "X1757"
"Platyrrhinus_linea" 33 41 41 0 0 0 50 3 0 4 12 18 71 32 31 76 0 10 1 1 0 15 1 10 0 15 7 1 0 0 173 12 0 0 0 0 0
"Platyrrhinus_masu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 0 0 0 0 0 0 0 0 0 0 0 0
"Platyrrhinus_recif" 0 0 29 2 0 0 0 2 3 0 15 1 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 21 5 0 0 0 0 0 0
"Promops_nasutus" 0 0 0 0 0 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 3 0
"Pteronotus_parnell" 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pygoderma_bilabiat" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 7 3 0 0 0 0 0 0 0 11 4 0 2 0 0 0 0 0 0 0
"Rhinophylla_pumili" 0 0 0 413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 199 0 0 0 0 0 0 0 0 0 0 0
"Rhogeessa_io" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
"Saccopteryx_biline" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"Saccopteryx_leptur" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sturnira_erythromo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 845 1 0 0 0
"Sturnira_lilium" 34 50 25 4 26 0 2 132 0 8 75 0 21 0 80 3 5 125 42 59 4 25 0 0 279 61 59 41 0 1 157 10 67 34 5 0 55
"Sturnira_magna" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 10 0 0
"Sturnira_oporaphil" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 327 0 0 0 0 0 0 0 2 13 5 0 0
"Sturnira_tildae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 8 0 0 0 0 0 0 0 0 0 0 0
"Tadarida_brasilien" 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 245 0
"Thyroptera_tricolo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"Tonatia_bidens" 0 0 21 0 0 0 0 0 1 0 26 0 0 7 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tonatia_saurophila" 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trachops_cirrhosus" 0 0 6 1 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0
"Trinycteris_nicefo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0
"Uroderma_bilobatum" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 32 2 0 0
"Uroderma_magnirost" 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"Vampyressa_pusilla" 0 0 6 0 0 0 0 3 1 0 0 0 0 0 0 9 2 0 0 0 2 0 0 0 0 3 0 6 0 10 0 0 0 0 0 0 0
"Vampyressa_thyone" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 0 0 0 0 0 0 0 0
"Vampyrodes_caracci" 0 0 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 8 5 0 0
